,RID
699,291
700,291
701,291
702,291
703,292
704,292
705,292
706,292
707,292
708,292
709,293
710,293
711,293
712,293
713,293
714,293
715,294
716,294
717,294
718,294
719,294
720,294
721,295
722,295
723,295
724,295
725,295
726,296
727,296
728,296
729,296
730,296
731,298
732,298
733,298
734,298
735,298
736,299
737,299
738,299
739,300
740,300
741,300
742,300
743,301
744,301
745,301
746,301
747,301
748,303
749,303
750,303
751,303
752,303
753,304
754,307
755,307
756,307
757,307
758,307
759,310
760,310
761,310
762,311
763,311
764,311
765,311
766,312
767,312
768,312
769,314
770,314
771,314
772,314
773,314
774,314
775,315
776,315
777,315
778,315
779,316
780,316
781,316
782,316
783,319
784,319
785,321
786,321
787,321
788,324
789,324
790,324
791,324
792,324
793,324
794,325
795,325
796,325
797,325
798,326
799,326
800,326
801,326
802,326
803,326
804,327
805,327
806,327
807,327
808,328
809,328
810,328
811,328
812,331
813,331
814,331
815,331
816,331
817,331
818,332
819,332
820,332
821,335
822,335
823,335
824,336
825,336
826,336
827,336
828,337
829,337
830,337
831,337
832,337
833,339
834,341
835,341
836,341
837,341
838,343
839,343
840,343
841,343
842,344
843,344
844,344
845,344
846,344
847,351
848,351
849,351
850,351
851,351
852,351
853,352
854,352
855,352
856,352
857,352
858,354
859,354
860,354
861,356
862,356
863,359
864,359
865,359
866,359
867,360
868,361
869,361
870,361
871,361
872,361
873,361
874,362
875,362
876,362
877,362
878,362
879,363
880,366
881,366
882,366
883,366
884,369
885,369
886,369
887,369
888,370
889,370
890,370
891,370
892,372
893,372
894,372
895,372
896,374
897,374
898,374
899,374
900,376
901,376
902,376
903,376
904,376
905,376
906,377
907,377
908,377
909,377
910,377
911,378
912,378
913,378
914,378
915,378
916,378
917,382
918,382
919,382
920,382
921,384
922,384
923,384
924,384
925,384
926,384
927,386
928,386
929,386
930,386
931,386
932,388
933,388
934,388
935,388
936,388
937,389
938,389
939,389
940,389
941,389
942,390
943,390
944,390
945,390
946,392
947,392
948,392
949,393
950,393
951,393
952,393
953,394
954,394
955,394
956,394
957,397
958,397
959,400
960,400
961,400
962,400
963,401
964,401
965,401
966,403
967,403
968,403
969,403
970,404
971,404
972,404
973,404
974,405
975,405
976,406
977,406
978,406
979,406
980,406
981,407
982,408
983,408
984,408
985,408
986,408
987,408
988,409
989,409
990,410
991,410
992,410
993,410
994,413
995,413
996,413
997,413
998,413
999,414
1000,414
1001,414
1002,414
1003,414
1004,416
1005,416
1006,416
1007,416
1008,417
1009,417
1010,417
1011,419
1012,419
1013,419
1014,419
1015,420
1016,420
1017,420
1018,420
1019,422
1020,422
1021,422
1022,422
1023,423
1024,423
1025,423
1026,423
1027,424
1028,424
1029,424
1030,424
1031,424
1032,424
1033,425
1034,425
1035,425
1036,425
1037,426
1038,426
1039,426
1040,429
1041,429
1042,429
1043,429
1044,429
1045,431
1046,431
1047,431
1048,431
1049,433
1050,433
1051,433
1052,433
1053,433
1054,434
1055,434
1056,434
1057,434
1058,434
1059,436
1060,438
1061,441
1062,441
1063,441
1064,441
1065,441
1066,442
1067,442
1068,442
1069,443
1070,443
1071,443
1072,443
1073,443
1074,445
1075,446
1076,446
1077,446
1078,448
1079,448
1080,448
1081,448
1082,448
1083,449
1084,449
1085,449
1086,449
1087,450
1088,450
1089,450
1090,450
1091,454
1092,454
1093,454
1094,454
1095,454
1096,457
1097,457
1098,457
1099,458
1100,458
1101,458
1102,459
1103,459
1104,459
1105,459
1106,459
1107,460
1108,461
1109,461
1110,461
1111,461
1112,464
1113,464
1114,464
1115,464
1116,464
1117,467
1118,467
1119,467
1120,467
1121,469
1122,470
1123,470
1124,470
1125,470
1126,472
1127,472
1128,472
1129,472
1130,473
1131,473
1132,473
1133,473
1134,473
1135,474
1136,474
1137,474
1138,474
1139,476
1140,476
1141,478
1142,478
1143,478
1144,479
1145,479
1146,479
1147,479
1148,481
1149,481
1150,481
1151,481
1152,481
1153,484
1154,485
1155,485
1156,485
1157,485
1158,487
1159,487
1160,487
1161,487
1162,488
1163,488
1164,488
1165,488
1166,488
1167,489
1168,489
1169,492
1170,493
1171,493
1172,493
1173,493
1174,497
1175,497
1176,497
1177,497
1178,498
1179,498
1180,498
1181,498
1182,500
1183,500
1184,500
1185,500
1186,501
1187,501
1188,501
1189,501
1190,501
1191,502
1192,502
1193,502
1194,502
1195,502
1196,505
1197,505
1198,505
1199,505
1200,506
1201,507
1202,507
1203,507
1204,507
1205,507
1206,511
1207,511
1208,511
1209,511
1210,511
1211,513
1212,513
1213,513
1214,513
1215,513
1216,513
1217,514
1218,514
1219,514
1220,514
1221,514
1222,516
1223,516
1224,516
1225,516
1226,517
1227,517
1228,517
1229,518
1230,518
1231,518
1232,518
1233,519
1234,519
1235,519
1236,519
1237,519
1238,520
1239,520
1240,520
1241,522
1242,522
1243,522
1244,522
1245,525
1246,525
1247,525
1248,525
1249,526
1250,526
1251,526
1252,526
1253,528
1254,528
1255,528
1256,531
1257,531
1258,531
1259,533
1260,533
1261,533
1262,534
1263,534
1264,534
1265,534
1266,535
1267,535
1268,535
1269,535
1270,538
1271,538
1272,538
1273,538
1274,539
1275,539
1276,539
1277,539
1278,542
1279,543
1280,543
1281,543
1282,544
1283,544
1284,544
1285,544
1286,544
1287,545
1288,545
1289,545
1290,545
1291,546
1292,546
1293,546
1294,546
1295,546
1296,547
1297,547
1298,547
1299,547
1300,548
1301,548
1302,548
1303,548
1304,549
1305,549
1306,549
1307,549
1308,551
1309,551
1310,551
1311,551
1312,551
1313,552
1314,552
1315,552
1316,552
1317,552
1318,553
1319,553
1320,553
1321,553
1322,554
1323,554
1324,554
1325,554
1326,555
1327,555
