,RID
2868,1284
2869,1284
2870,1284
2871,1285
2872,1285
2873,1285
2874,1285
2875,1286
2876,1286
2877,1286
2878,1286
2879,1288
2880,1288
2881,1288
2882,1288
2883,1289
2884,1289
2885,1290
2886,1290
2887,1290
2888,1292
2889,1292
2890,1292
2891,1292
2892,1293
2893,1293
2894,1293
2895,1293
2896,1294
2897,1294
2898,1295
2899,1295
2900,1296
2901,1296
2902,1296
2903,1299
2904,1299
2905,1299
2906,1299
2907,1299
2908,1299
2909,1300
2910,1300
2911,1300
2912,1300
2913,1300
2914,1300
2915,1301
2916,1301
2917,1301
2918,1301
2919,1301
2920,1304
2921,1304
2922,1306
2923,1307
2924,1307
2925,1307
2926,1307
2927,1308
2928,1308
2929,1308
2930,1308
2931,1309
2932,1309
2933,1309
2934,1309
2935,1309
2936,1311
2937,1311
2938,1311
2939,1311
2940,1314
2941,1314
2942,1314
2943,1314
2944,1315
2945,1315
2946,1315
2947,1315
2948,1315
2949,1315
2950,1318
2951,1318
2952,1318
2953,1318
2954,1318
2955,1318
2956,1321
2957,1321
2958,1321
2959,1321
2960,1321
2961,1322
2962,1322
2963,1322
2964,1326
2965,1326
2966,1326
2967,1326
2968,1330
2969,1330
2970,1331
2971,1331
2972,1334
2973,1334
2974,1337
2975,1337
2976,1337
2977,1338
2978,1339
2979,1339
2980,1339
2981,1339
2982,1340
2983,1341
2984,1341
2985,1341
2986,1343
2987,1343
2988,1343
2989,1346
2990,1346
2991,1346
2992,1346
2993,1346
2994,1350
2995,1350
2996,1351
2997,1351
2998,1351
2999,1351
3000,1351
3001,1351
3002,1352
3003,1352
3004,1352
3005,1354
3006,1354
3007,1357
3008,1366
3009,1368
3010,1368
3011,1368
3012,1368
3013,1371
3014,1371
3015,1371
3016,1371
3017,1373
3018,1373
3019,1373
3020,1377
3021,1377
3022,1378
3023,1378
3024,1379
3025,1379
3026,1379
3027,1380
3028,1380
3029,1380
3030,1380
3031,1380
3032,1382
3033,1382
3034,1382
3035,1382
3036,1384
3037,1384
3038,1384
3039,1384
3040,1384
3041,1385
3042,1385
3043,1385
3044,1385
3045,1387
3046,1387
3047,1387
3048,1387
3049,1389
3050,1389
3051,1389
3052,1389
3053,1389
3054,1393
3055,1393
3056,1393
3057,1394
3058,1394
3059,1394
3060,1394
3061,1394
3062,1394
3063,1397
3064,1397
3065,1397
3066,1398
3067,1398
3068,1398
3069,1398
3070,1400
3071,1400
3072,1402
3073,1402
3074,1402
3075,1406
3076,1406
3077,1406
3078,1407
3079,1407
3080,1407
3081,1408
3082,1408
3083,1409
3084,1409
3085,1411
3086,1412
3087,1412
3088,1412
3089,1414
3090,1414
3091,1414
3092,1414
3093,1417
3094,1417
3095,1417
3096,1417
3097,1418
3098,1418
3099,1418
3100,1418
3101,1418
3102,1419
3103,1419
3104,1419
3105,1419
3106,1420
3107,1420
3108,1421
3109,1421
3110,1421
3111,1421
3112,1423
3113,1423
3114,1423
3115,1425
3116,1425
3117,1425
3118,1425
3119,1426
3120,1426
3121,1427
3122,1427
3123,1427
3124,1427
3125,1430
3126,1430
3127,1435
